"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
165;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
166;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
167;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
168;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
169;"ID";"N_001_Fassadenbegrünung";"Vor- und Nachteile";"Nachteile";"10";"NA";"String";"vornach";NA
170;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"1";"Projektname";"NA";"String";"fallbsp";NA
171;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"1";"Stadt";"NA";"String";"fallbsp";NA
172;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"1";"Land";"NA";"String";"fallbsp";NA
173;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"1";"Erläuterung";"NA";"String";"fallbsp";NA
174;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"2";"Projektname";"NA";"String";"fallbsp";NA
175;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"2";"Stadt";"NA";"String";"fallbsp";NA
176;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"2";"Land";"NA";"String";"fallbsp";NA
177;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"2";"Erläuterung";"NA";"String";"fallbsp";NA
178;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"3";"Projektname";"NA";"String";"fallbsp";NA
179;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"3";"Stadt";"NA";"String";"fallbsp";NA
180;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"3";"Land";"NA";"String";"fallbsp";NA
181;"ID";"N_001_Fassadenbegrünung";"Fallbeispiele";"3";"Erläuterung";"NA";"String";"fallbsp";NA
182;"ID";"N_001_Fassadenbegrünung";"Literatur";"Struktur noch unklar";"Struktur noch unklar";"NA";"String";"noch in arbeit";NA
