"0";"ID";"Massnahme";"Ebene1";"Ebene2";"Ebene3";"Wert";"Werttyp";"Parametername R";"...10"
105;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Schmutzwasser";"NA";"String";"konfschmutzwasser";NA
106;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Baustoffe";"NA";"String";"konfbaustoffe";NA
107;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Energie";"NA";"String";"konfenergie";NA
108;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Fläche";"NA";"String";"konfflaeche";NA
109;"ID";"B_005_Kreislauf-Aspekte";"Ressourcenübergreifende Aspekte";"Zielkonflikte";"Ökobilanz";"NA";"String";"konfoekobilanz";NA
110;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"1";"NA";"NA";"String";"selkombi1";NA
111;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"2";"NA";"NA";"String";"selkombi2";NA
112;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"3";"NA";"NA";"String";"selkombi3";NA
113;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"4";"NA";"NA";"String";"selkombi4";NA
114;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"5";"NA";"NA";"String";"selkombi5";NA
115;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"6";"NA";"NA";"String";"selkombi6";NA
116;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"7";"NA";"NA";"String";"selkombi7";NA
117;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"8";"NA";"NA";"String";"selkombi8";NA
118;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"9";"NA";"NA";"String";"selkombi9";NA
119;"ID";"B_005_Kreislauf-Aspekte";"Kombinationsmöglichkeiten";"10";"NA";"NA";"String";"selkombi10";NA
120;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"1";"NA";"String";"vornach";NA
121;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"2";"NA";"String";"vornach";NA
122;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"3";"NA";"String";"vornach";NA
123;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"4";"NA";"String";"vornach";NA
124;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"5";"NA";"String";"vornach";NA
125;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"6";"NA";"String";"vornach";NA
126;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"7";"NA";"String";"vornach";NA
127;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"8";"NA";"String";"vornach";NA
128;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"9";"NA";"String";"vornach";NA
129;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Vorteile";"10";"NA";"String";"vornach";NA
130;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"1";"NA";"String";"vornach";NA
131;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"2";"NA";"String";"vornach";NA
132;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"3";"NA";"String";"vornach";NA
133;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"4";"NA";"String";"vornach";NA
134;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"5";"NA";"String";"vornach";NA
135;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"6";"NA";"String";"vornach";NA
136;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"7";"NA";"String";"vornach";NA
137;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"8";"NA";"String";"vornach";NA
138;"ID";"B_005_Kreislauf-Aspekte";"Vor- und Nachteile";"Nachteile";"9";"NA";"String";"vornach";NA
